,site_id,site_name,hourly_rain,elevation,ts_updated,latitude,longitude
0,98,"Science Garden, Quezon City",0,42.063,2024-09-25 23:30:00,14.644722,121.044444
1,1001,"Bacarra, Ilocos Norte",0,0,2024-09-25 23:50:00,,
2,1002,"Danglas, Abra",0,0,2024-09-25 23:50:00,,
3,1004,"Cervantes, Ilocos Sur",0,0,2024-09-25 23:50:00,,
4,1005,"Vigan 3, Caoyan",0,0,2024-09-25 23:50:00,,
5,1006,"RBS Dingras, Ilocos Norte",0,0,2024-09-25 23:30:00,,
6,1007,"Alilem, Ilocos Sur",0,0,2024-09-25 23:50:00,,
7,1009,"Ambassador, Benguet",0,0,2024-09-25 23:30:00,,
8,1010,"Sta Maria, Ilocos Sur",-,0,2024-09-25 23:40:00,,
9,1011,"Bangued, Abra",0,0,2024-09-25 23:40:00,,
10,1012,"Manabo, Abra",0,0,2024-09-25 23:50:00,,
11,1013,"Vintar, Ilocos Norte",0,0,2024-09-25 23:40:00,,
12,1014,"Bangar - TP, La Union",0,0,2024-09-25 23:40:00,,
13,1018,"Salcedo, Baugen, Ilocos Sur",0,0,2024-09-25 23:30:00,,
14,1021,"San Miguel, Bulacan",-,0,2024-09-24 23:50:00,,
15,1022,"Angat, Bulacan",0,0,2024-09-25 23:40:00,,
16,1023,"Dona Remedios, Bulacan",0,0,2024-09-25 23:40:00,,
17,1024,"Motorpool, San Jose Del Monte, Bulacan",0,0,2024-09-22 19:50:00,,
18,1025,"Kakawati National High School, San Jose del Monte",0,0,2024-09-25 23:40:00,,
19,1026,"Floridablanca, Pampanga",0,0,2024-09-25 23:30:00,,
20,1028,"Masantol, Pampanga",0,0,2024-09-25 23:30:00,,
21,1029,"Mabalacat, Pampanga",0,0,2024-09-25 16:30:00,,
22,1030,"Magalang, Pampanga",0,0,2024-09-25 23:40:00,,
23,2004,"Irosin, Sorsogon",0,0,2024-09-25 23:40:00,,
24,2006,"Tanay- Camp Capinpin, Rizal",0,0,2024-09-25 23:50:00,14.581389,121.369167
25,2009,"Calamba NEC Toppan 2, Laguna",0,0,2024-09-25 23:40:00,,
26,2017,"Donsol, Butanding, Sorsogon",0,0,2024-09-25 17:50:00,,
27,2018,"General Nakar, Quezon",0,0,2024-09-26 00:10:00,,
28,2019,"Jovellar, Albay",0,0,2024-09-25 23:30:00,,
29,2023,"Airport Rd, Legazpi City",-,0,2024-09-25 23:40:00,,
30,2024,"Brgy. Poblacion, Rapu Rapu Albay ARG",-,3.9624,2024-09-25 23:30:00,,
31,2025,"Manito,Albay",-,36.8808,2024-09-25 23:40:00,,
32,2026,"Brgy. Sta Fe, Pilar, Sorsogon ARG",0,33.0098,2024-09-25 23:50:00,,
33,2027,Castilla East Elementary School ARG,0,5.4864,2024-09-25 23:50:00,,
34,2028,"Juban, Sorsogon Station ARG",0,59,2024-09-25 23:30:00,,
35,2030,"Tayabas,Quezon ARG",0,0,2024-09-26 00:30:00,14.014722,121.601944
36,3003,"Ormoc PNOC, Leyte",-,0,2024-09-25 23:40:00,,
37,3005,"Laoang, Northern Samar",-,0,2024-09-25 23:40:00,,
38,3013,"Catarman, Synoptic Station ARG",0,7,2024-09-08 04:30:00,12.505278,124.628333
39,4003,"Nagpan, Saranggani",0,0,2024-09-25 23:30:00,,
40,4004,"Iligan, Lanao del Norte",0,0,2024-09-25 23:50:00,,
41,4006,"Bagumbayan, Sultan Kudarat",0,0,2024-09-25 23:40:00,,
42,4007,"Tagum, Davao del Norte",0,0,2024-09-25 23:30:00,,
43,4011,"Sison, Surigao Del Norte",0,0,2024-09-25 23:40:00,,
44,4012,"MOSCAT, Claveria, Misamis Oriental",0,0,2024-09-25 23:40:00,,
45,4013,"Opol, Misamis Oriental",0,0,2024-09-25 23:40:00,,
46,4014,"Don Victoriano, Misamis Occidental",0,0,2024-09-25 23:30:00,,
47,4015,Alabel Sarangani,0,0,2024-09-25 23:40:00,,
48,5001,San Jose Synoptic Station,0,3,2024-09-25 23:30:00,,
49,5008,"Tampakan, South Cotobato",0,0,2024-09-04 10:30:00,,
50,5010,"Ozamis, Misamis Occidental",0,446.027,2024-09-25 23:00:00,,
51,5012,"Laoag, Ilocos Norte AWS",0,5.136,2024-09-25 23:40:00,18.182778,120.534167
52,5013,"San Enrique, Iloilo AWS",0,43.161,2024-09-25 23:40:00,,
53,5014,"Daet, Camarines Norte AWS",0,5.246,2024-09-25 23:40:00,14.128611,122.9825
54,5015,"Guiuan, Eastern Samar AWS",0,7.871,2024-09-25 17:30:00,11.045278,125.755556
55,5017,"Batac,Ilocos Norte AWS",0,10.745,2024-09-25 23:40:00,,
56,5018,"Sinait, Ilocos Sur AWS",0,58.581,2024-09-25 23:40:00,,
57,5019,"Bacnotan, La Union AWS",0,44.53,2024-09-25 23:40:00,,
58,5021,"Atok, Benguet AWS",0.5,2393.73,2024-09-01 07:20:00,,
59,5023,"San Marcelino, Zambales AWS",0,59.448,2024-09-25 23:40:00,,
60,5025,"Tuguegarao, Cagayan AWS",0,58.806,2024-09-25 23:40:00,17.6375,121.7525
61,5026,"Echague, Isabela AWS",0,65.365,2024-09-25 23:40:00,,
62,5027,"Bayombong,Nueva Vizcaya AWS",0,273.121,2024-09-25 23:40:00,,
63,5029,"San Ildefonso, Bulacan AWS",0,23,2024-09-25 23:40:00,,
64,5032,"Camiling, Tarlac AWS",0,23,2024-09-25 23:40:00,,
65,5033,"Tanay, Rizal AWS",0,640,2024-09-25 23:30:00,14.581389,121.369167
66,5034,"UP Los Banos, Laguna AWS",0,22,2024-09-25 23:40:00,,
67,5035,"Indang, Cavite AWS",0,298,2024-09-25 23:40:00,,
68,5037,Pili Camarines Sur AWS,0,35.826,2024-09-25 23:40:00,,
69,5038,"Guinobatan, Albay AWS",0,72,2024-09-25 23:40:00,,
70,5039,"Virac, Catanduanes AWS",0,32.359,2024-09-25 23:40:00,13.578889,124.211944
71,5041,"Sorsogon, Sorsogon AWS",5.5,10.823,2024-09-18 10:20:00,,
72,5042,"Gamay, Northern Samar AWS",0,5.15,2024-09-25 23:40:00,,
73,5043,"Baybay, Leyte AWS",0,5.365,2024-09-25 23:40:00,,
